Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2019-05-28 23:33:48;2019-05-29 06:19:48;75%;0%;;0;1427;Normal;100.9;;76.2;24360.3;21193.5;162.4;2019-05-29 06:00:00;2019-05-29 06:30:00;true;0.0;32.0;No weather;
2019-06-03 00:19:27;2019-06-03 06:13:21;60%;0%;;0;1514;Normal;100.7;;106.5;21234.6;17483.2;141.6;2019-06-03 06:00:00;2019-06-03 06:30:00;true;750.0;32.0;No weather;
2019-06-05 00:07:12;2019-06-05 06:16:39;58%;98%;;0;776;Normal;100.9;;132.0;22166.5;20541.0;147.8;2019-06-05 06:00:00;2019-06-05 06:30:00;true;0.0;32.0;No weather;
2019-06-06 00:25:52;2019-06-06 08:34:05;76%;88%;;0;5417;Normal;100.9;;135.6;29293.1;25094.4;195.3;2019-06-06 08:05:00;2019-06-06 08:35:00;true;0.0;32.0;No weather;
2019-06-24 01:18:38;2019-06-24 07:55:05;70%;0%;;0;1198;Normal;100.8;;93.3;23786.8;19743.0;1665.1;2019-06-24 07:30:00;2019-06-24 08:00:00;true;0.0;32.0;No weather;
2019-06-26 00:02:31;2019-06-26 07:39:40;72%;87%;;0;2362;Normal;100.8;;131.1;27429.0;25326.1;182.9;2019-06-26 07:30:00;2019-06-26 08:00:00;true;0.0;32.0;No weather;
2019-06-27 00:02:05;2019-06-27 06:17:13;67%;88%;;0;4421;Normal;101.1;;90.6;22508.1;18231.5;1725.6;2019-06-27 06:00:00;2019-06-27 06:30:00;true;0.0;32.0;No weather;
2019-06-30 23:47:03;2019-07-01 06:08:55;67%;0%;;0;2839;Normal;101.0;;97.3;22912.9;20927.1;1374.8;2019-07-01 06:00:00;2019-07-01 06:45:00;true;0.0;32.0;No weather;
2019-07-02 00:29:05;2019-07-02 06:55:33;65%;88%;;0;5619;Normal;100.8;;107.3;23187.3;20250.2;154.6;2019-07-02 06:15:00;2019-07-02 07:00:00;true;0.0;32.0;No weather;
2019-07-03 00:00:28;2019-07-03 06:44:31;72%;91%;;0;3811;Normal;100.7;;91.0;24243.1;20040.9;161.6;2019-07-03 06:15:00;2019-07-03 07:00:00;true;0.0;32.0;No weather;
2019-07-08 00:42:51;2019-07-08 08:05:08;64%;0%;;0;1149;Normal;101.0;;151.7;26536.8;23617.7;176.9;2019-07-08 07:45:00;2019-07-08 08:30:00;true;0.0;32.0;No weather;
2019-07-08 23:52:34;2019-07-09 06:26:10;62%;79%;;0;4142;Normal;101.1;;131.1;23615.5;21253.9;157.4;2019-07-09 06:15:00;2019-07-09 07:00:00;true;0.0;32.0;No weather;
2019-07-09 23:45:47;2019-07-10 07:00:04;67%;87%;;0;5001;Normal;101.2;;135.3;26056.7;25883.0;173.7;2019-07-10 06:15:00;2019-07-10 07:00:00;true;1254.0;32.0;No weather;
2019-07-10 23:37:02;2019-07-11 06:16:37;72%;89%;;0;5526;Normal;101.1;;88.9;23975.4;19659.8;159.8;2019-07-11 06:05:00;2019-07-11 06:50:00;true;0.0;32.0;No weather;
2019-07-15 01:08:59;2019-07-15 07:45:58;70%;0%;;0;701;Normal;100.9;;97.4;23819.1;19690.4;1984.9;2019-07-15 07:30:00;2019-07-15 08:15:00;true;0.0;32.0;No weather;
2019-07-16 00:27:33;2019-07-16 06:33:18;64%;84%;;0;3907;Normal;100.7;;96.3;21945.0;16312.5;146.3;2019-07-16 06:25:00;2019-07-16 07:10:00;true;0.0;32.0;No weather;
2019-07-16 23:44:04;2019-07-17 06:42:10;71%;88%;;0;6676;Normal;100.7;;108.3;25085.3;24249.2;167.2;2019-07-17 06:25:00;2019-07-17 07:10:00;true;0.0;32.0;No weather;
2019-07-17 23:17:27;2019-07-18 07:07:48;84%;90%;;0;6938;Normal;101.1;;89.3;28220.7;23611.3;188.1;2019-07-18 06:25:00;2019-07-18 07:10:00;true;0.0;32.0;No weather;
2019-07-21 00:23:05;2019-07-21 06:17:15;69%;84%;;0;737;Normal;100.6;;58.4;21249.8;18770.7;141.7;2019-07-21 06:00:00;2019-07-21 06:45:00;true;0.0;32.0;No weather;
2019-07-22 00:15:47;2019-07-22 06:20:28;67%;99%;;0;2201;Normal;101.0;;80.0;21880.8;19692.7;145.9;2019-07-22 06:00:00;2019-07-22 06:45:00;true;0.0;32.0;No weather;
2019-07-22 06:20:42;2019-07-22 07:27:27;14%;0%;;0;48;Normal;101.1;;0.0;4005.4;3978.7;26.7;2019-07-22 07:05:00;2019-07-22 07:50:00;true;0.0;32.0;No weather;
2019-07-22 23:40:59;2019-07-23 06:13:21;72%;96%;;0;6053;Normal;101.2;;80.4;23541.6;22050.6;156.9;2019-07-23 06:05:00;2019-07-23 06:50:00;true;0.0;32.0;No weather;
2019-07-23 23:53:50;2019-07-24 06:07:00;68%;97%;;0;5336;Normal;101.1;;82.5;22389.3;17538.3;4851.0;2019-07-24 05:55:00;2019-07-24 06:40:00;true;0.0;32.0;No weather;
2019-07-24 23:36:57;2019-07-25 06:04:58;79%;96%;;0;5429;Normal;101.1;;45.8;23280.7;21961.4;155.2;2019-07-25 05:55:00;2019-07-25 06:40:00;true;0.0;32.0;No weather;
2019-08-18 22:23:40;2019-08-19 05:58:42;92%;0%;;0;1557;Normal;100.8;;43.6;27302.3;24572.1;182.0;2019-08-19 05:15:00;2019-08-19 06:00:00;true;0.0;32.0;No weather;
2019-08-19 22:31:17;2019-08-20 05:39:07;92%;96%;;0;1730;Normal;100.8;;9.8;25670.8;24045.0;1625.8;2019-08-20 05:15:00;2019-08-20 06:00:00;true;0.0;32.0;No weather;
2019-08-20 22:38:06;2019-08-21 05:35:52;90%;97%;;0;6511;Normal;100.6;;5.6;25066.2;24230.6;167.1;2019-08-21 05:15:00;2019-08-21 06:00:00;true;0.0;32.0;No weather;
2019-08-21 22:19:29;2019-08-22 06:30:45;100%;95%;;0;4809;Normal;100.3;;6.1;29475.5;27117.5;2358.0;2019-08-22 05:45:00;2019-08-22 06:30:00;true;0.0;32.0;No weather;
2019-08-25 22:36:44;2019-08-26 06:01:43;95%;0%;;0;917;Normal;101.0;;10.0;26699.3;24296.4;178.0;2019-08-26 05:15:00;2019-08-26 06:00:00;true;0.0;32.0;No weather;
2019-08-27 00:13:39;2019-08-27 06:50:25;85%;80%;;0;4767;Normal;100.6;;8.1;23805.9;23647.2;158.7;2019-08-27 06:15:00;2019-08-27 07:00:00;true;0.0;32.0;No weather;
2019-08-27 22:05:04;2019-08-28 05:37:52;92%;76%;;0;3693;Normal;100.7;;29.4;27168.0;24722.9;2445.1;2019-08-28 05:15:00;2019-08-28 06:00:00;true;0.0;32.0;No weather;
2019-08-28 22:48:41;2019-08-29 05:37:41;87%;82%;;0;4672;Normal;101.0;;7.9;24540.1;24376.5;163.6;2019-08-29 05:15:00;2019-08-29 06:00:00;true;0.0;32.0;No weather;
2019-09-03 00:30:54;2019-09-03 06:30:02;72%;0%;;0;2576;Normal;101.0;;37.0;21548.0;19321.4;143.7;2019-09-03 06:15:00;2019-09-03 07:00:00;true;0.0;32.0;No weather;
2019-09-04 22:37:08;2019-09-05 05:39:11;90%;80%;;0;3620;Normal;100.9;;7.1;25322.4;24056.3;1266.1;2019-09-05 05:15:00;2019-09-05 06:00:00;true;0.0;32.0;No weather;
2019-09-05 23:31:24;2019-09-06 06:52:47;90%;81%;;0;4697;Normal;101.2;;24.5;26483.0;26306.4;176.6;2019-09-06 06:15:00;2019-09-06 07:00:00;true;0.0;32.0;No weather;
2019-09-08 22:39:23;2019-09-09 05:36:05;87%;82%;;0;1753;Normal;100.7;;9.2;25002.1;23501.9;1500.1;2019-09-09 05:15:00;2019-09-09 06:00:00;true;0.0;32.0;No weather;
2019-09-09 23:11:46;2019-09-10 05:28:28;79%;94%;;0;4186;Normal;100.7;;7.8;22602.1;22451.4;150.7;2019-09-10 05:15:00;2019-09-10 06:00:00;true;0.0;32.0;No weather;
2019-09-10 22:05:05;2019-09-11 05:41:20;94%;92%;;0;4964;Normal;100.8;;16.9;27374.7;22629.7;1460.0;2019-09-11 05:15:00;2019-09-11 06:00:00;true;0.0;32.0;No weather;
2019-09-11 22:29:33;2019-09-12 05:23:20;85%;93%;;0;5218;Normal;101.2;;12.2;24827.3;22592.8;1489.6;2019-09-12 05:10:00;2019-09-12 05:55:00;true;0.0;32.0;No weather;
2019-09-12 22:48:17;2019-09-13 05:47:56;88%;92%;;0;3705;Normal;101.2;;4.8;25178.8;25011.0;167.9;2019-09-13 05:10:00;2019-09-13 05:55:00;true;0.0;32.0;No weather;
2019-09-15 22:34:07;2019-09-16 05:29:09;87%;95%;;0;902;Normal;100.9;;4.5;24902.0;24736.0;166.0;2019-09-16 05:10:00;2019-09-16 05:55:00;true;0.0;32.0;No weather;
2019-09-16 22:18:31;2019-09-17 05:13:08;85%;96%;;0;3173;Normal;100.9;;13.6;24877.3;22223.7;1078.0;2019-09-17 05:05:00;2019-09-17 05:50:00;true;0.0;32.0;No weather;
